prediction_target,area_under_roc_curve,area_under_pr_curve,accuracy_at_optimal_threshold,false_positive_rate_at_optimal_threshold,false_negative_rate_at_optimal_threshold,optimal_threshold,cross_entropy,accuracy_at_threshold_05,subject_count,data_split,epoch
Default,0.60021,0.78835,0.49554,0.14706,0.65385,0.39936,0.85560,0.30357,224.00000,Test,best_validation_epoch
Default,0.54664,0.83043,0.39279,0.13537,0.70481,0.53955,0.68686,0.50501,998.00000,Train,0
Default,0.63647,0.85405,0.70541,0.57205,0.20026,0.47925,0.67841,0.50501,998.00000,Train,1
Default,0.60348,0.84458,0.45491,0.15721,0.65540,0.40210,0.84914,0.22946,998.00000,Val,0
Default,0.61017,0.84888,0.46393,0.14410,0.65020,0.39551,0.89527,0.22946,998.00000,Val,1
