subject_count,loss,learning_rate,Dice/AverageAcrossStructures,Dice/spinalcord,Dice/lung_r,Dice/lung_l,Dice/heart,Dice/esophagus,VoxelCount/spinalcord,VoxelCount/lung_r,VoxelCount/lung_l,VoxelCount/heart,VoxelCount/esophagus,epoch,cross_validation_split_index
10.000000,0.868966,0.001000,0.082935,0.006683,0.118885,0.085944,0.200575,0.002587,1620.900024,28522.000000,66396.601562,84532.203125,863.000000,0,-1
10.000000,0.752817,0.000994,0.208338,0.032373,0.281008,0.305783,0.412445,0.010078,2401.500000,84788.203125,91682.500000,105967.398438,3728.100098,1,-1
10.000000,0.777215,0.000988,0.174989,0.055730,0.231478,0.498765,0.084704,0.004270,2528.300049,61891.601562,159952.500000,17106.500000,2863.199951,2,-1
10.000000,0.719233,0.000982,0.195129,0.067529,0.428011,0.215785,0.262450,0.001868,2575.300049,129167.101562,38449.199219,69528.296875,2562.699951,3,-1
10.000000,0.708855,0.000976,0.232163,0.020635,0.432972,0.238347,0.467108,0.001752,693.599976,102286.703125,76227.296875,148340.500000,3670.800049,4,-1
10.000000,0.715297,0.000970,0.202979,0.129780,0.474916,0.205189,0.204622,0.000389,3202.699951,131783.406250,40479.101562,37906.300781,2401.100098,5,-1
10.000000,0.654701,0.000964,0.272084,0.258159,0.490637,0.218054,0.393279,0.000294,3828.199951,73889.000000,53131.000000,100971.500000,2938.399902,6,-1
10.000000,0.746321,0.000958,0.166896,0.088548,0.254600,0.194528,0.296804,0.000000,1296.699951,83819.296875,52208.601562,70285.898438,1492.400024,7,-1
10.000000,0.636642,0.000952,0.292457,0.397845,0.416605,0.338049,0.309784,0.000000,4301.700195,78614.101562,79468.296875,57791.601562,2977.000000,8,-1
10.000000,0.668311,0.000946,0.257409,0.287395,0.402580,0.273450,0.323621,0.000000,2571.500000,65816.898438,55088.898438,88705.398438,3003.199951,9,-1
10.000000,0.626573,0.000940,0.273552,0.258486,0.242946,0.389765,0.476563,0.000000,2298.899902,85895.796875,154205.703125,83775.703125,2811.399902,10,-1
10.000000,0.625655,0.000934,0.286608,0.204075,0.214170,0.479874,0.534794,0.000128,1808.599976,72969.796875,150604.703125,88021.101562,3383.100098,11,-1
10.000000,0.574471,0.000928,0.349393,0.459896,0.368176,0.610360,0.308535,0.000000,4008.899902,74091.296875,115482.703125,47541.101562,2905.600098,12,-1
10.000000,0.647117,0.000922,0.247714,0.060193,0.230640,0.553563,0.394174,0.000000,669.500000,55592.800781,135629.406250,91589.203125,3161.399902,13,-1
10.000000,0.573793,0.000916,0.316607,0.504680,0.307868,0.523645,0.246809,0.000032,3983.000000,89652.101562,114462.500000,25572.599609,3573.699951,14,-1
10.000000,0.642039,0.000910,0.245098,0.209291,0.171109,0.579143,0.265949,0.000000,2121.800049,63098.000000,139509.406250,28148.800781,1768.599976,15,-1
10.000000,0.573741,0.000904,0.330272,0.307295,0.225303,0.783620,0.335140,0.000000,2502.600098,35170.000000,187184.500000,37231.101562,2923.699951,16,-1
10.000000,0.515429,0.000898,0.364155,0.585281,0.394300,0.540311,0.300884,0.000000,4537.000000,125279.796875,98580.703125,26848.099609,3416.500000,17,-1
10.000000,0.616632,0.000892,0.255734,0.395629,0.280632,0.263568,0.338840,0.000000,3189.300049,106781.601562,52251.300781,45878.199219,1759.500000,18,-1
10.000000,0.555323,0.000886,0.344811,0.386925,0.460197,0.461608,0.415323,0.000000,3160.500000,81125.703125,91628.000000,93033.703125,3267.699951,19,-1
10.000000,0.581773,0.000880,0.318823,0.287782,0.483534,0.373731,0.449070,0.000000,2267.699951,103299.898438,48614.398438,74757.703125,1945.500000,20,-1
10.000000,0.598543,0.000874,0.298161,0.162443,0.467022,0.450049,0.411291,0.000000,1424.900024,111532.101562,86311.703125,94871.500000,1752.099976,21,-1
10.000000,0.494690,0.000868,0.430463,0.390016,0.471248,0.707306,0.583746,0.000000,2564.100098,53430.500000,125439.601562,124467.296875,3771.399902,22,-1
10.000000,0.520617,0.000862,0.387241,0.496341,0.516252,0.642282,0.281332,0.000000,3768.899902,82350.601562,99143.398438,51794.199219,3763.500000,23,-1
10.000000,0.496593,0.000856,0.413750,0.564895,0.595885,0.570315,0.337655,0.000000,4814.799805,71516.296875,67607.500000,57376.398438,2547.300049,24,-1
10.000000,0.596890,0.000850,0.301322,0.541821,0.410132,0.468501,0.086157,0.000000,4734.399902,78825.796875,84307.296875,4163.799805,2880.699951,25,-1
10.000000,0.485270,0.000844,0.418937,0.477716,0.657670,0.714959,0.244338,0.000000,3683.899902,93507.703125,92576.101562,48743.898438,4604.799805,26,-1
10.000000,0.521660,0.000838,0.376186,0.215105,0.446620,0.751526,0.467679,0.000000,2248.399902,85929.601562,127247.000000,70795.000000,2826.699951,27,-1
10.000000,0.600824,0.000832,0.287043,0.207817,0.403970,0.509289,0.314097,0.000041,1397.400024,103240.601562,74954.000000,70160.296875,2363.699951,28,-1
10.000000,0.526142,0.000826,0.378532,0.729863,0.483521,0.472087,0.200611,0.006579,5990.600098,42129.898438,65154.000000,30549.500000,2075.100098,29,-1
10.000000,0.629392,0.000820,0.270281,0.142081,0.221995,0.457164,0.529377,0.000786,1497.900024,25360.900391,120307.601562,86514.203125,1348.300049,30,-1
10.000000,0.434486,0.000814,0.465156,0.631956,0.629525,0.659441,0.388294,0.016565,4595.600098,76883.296875,85621.703125,56279.699219,3543.899902,31,-1
10.000000,0.580503,0.000808,0.316978,0.175623,0.321219,0.586398,0.498102,0.003547,1294.400024,23582.199219,69978.203125,103200.101562,1697.300049,32,-1
10.000000,0.564602,0.000802,0.337351,0.367060,0.312494,0.599835,0.399285,0.008082,3778.699951,33755.101562,117475.101562,73244.000000,1916.500000,33,-1
10.000000,0.524870,0.000796,0.379430,0.323450,0.550997,0.747196,0.267669,0.007837,2969.300049,55308.800781,98195.898438,69786.000000,2243.199951,34,-1
10.000000,0.506921,0.000789,0.395195,0.451668,0.627484,0.597774,0.298676,0.000372,2988.600098,117818.703125,115457.601562,63808.800781,4786.299805,35,-1
10.000000,0.544728,0.000783,0.351371,0.547549,0.474348,0.407070,0.324720,0.003170,4663.200195,66289.796875,64784.300781,49728.101562,2591.199951,36,-1
10.000000,0.503793,0.000777,0.419253,0.343460,0.620072,0.697919,0.420285,0.014526,1932.400024,62533.601562,69499.796875,120625.101562,3198.100098,37,-1
10.000000,0.493753,0.000771,0.409638,0.417462,0.649381,0.643824,0.301646,0.035877,2369.300049,88559.398438,82419.601562,64274.398438,2313.500000,38,-1
10.000000,0.503983,0.000765,0.400843,0.338411,0.511963,0.655342,0.476437,0.022063,2349.600098,78888.398438,104222.000000,102549.101562,3732.500000,39,-1
10.000000,0.483989,0.000759,0.413390,0.221353,0.725799,0.642558,0.441446,0.035794,1842.300049,130151.796875,51346.800781,112430.101562,3330.600098,40,-1
10.000000,0.483360,0.000753,0.412003,0.735750,0.580581,0.423813,0.251877,0.067995,5116.299805,80281.203125,63142.898438,22278.500000,2868.800049,41,-1
10.000000,0.494757,0.000747,0.413701,0.431569,0.761607,0.473743,0.336876,0.064711,3257.300049,107440.296875,60545.699219,77685.898438,2605.300049,42,-1
10.000000,0.453274,0.000740,0.473887,0.459937,0.667720,0.761338,0.388677,0.091761,3036.899902,67153.796875,88650.296875,99802.898438,4226.700195,43,-1
10.000000,0.423820,0.000734,0.507856,0.641530,0.713255,0.629852,0.483831,0.070814,5297.899902,100581.101562,61956.800781,97460.000000,2996.800049,44,-1
10.000000,0.587368,0.000728,0.308884,0.149013,0.480528,0.444686,0.405834,0.064361,1001.099976,126510.203125,77416.000000,58372.000000,1566.699951,45,-1
10.000000,0.444331,0.000722,0.492375,0.551879,0.645773,0.784252,0.284269,0.195701,4712.600098,73744.703125,120685.500000,46810.000000,3086.300049,46,-1
10.000000,0.443712,0.000716,0.484183,0.595461,0.478674,0.802436,0.320666,0.223681,4857.100098,38493.199219,109823.601562,45640.500000,4093.399902,47,-1
10.000000,0.499918,0.000710,0.410127,0.380778,0.577347,0.495008,0.456195,0.141310,2612.199951,132428.093750,64932.500000,103542.703125,3489.399902,48,-1
10.000000,0.461610,0.000703,0.461220,0.262412,0.486900,0.794441,0.689310,0.073034,1565.000000,35783.699219,133645.796875,137499.000000,2404.399902,49,-1
10.000000,0.444250,0.000697,0.476263,0.261736,0.622083,0.729831,0.586212,0.181450,1812.000000,125447.398438,82247.601562,118610.203125,3656.300049,50,-1
10.000000,0.438996,0.000691,0.485784,0.657722,0.508531,0.718045,0.324868,0.219756,4524.899902,74638.898438,121106.898438,46568.601562,3693.399902,51,-1
10.000000,0.478486,0.000685,0.434707,0.522820,0.462886,0.469342,0.598073,0.120415,3289.800049,95956.500000,75617.500000,89155.703125,3415.199951,52,-1
10.000000,0.469085,0.000679,0.452628,0.732006,0.567374,0.534811,0.207771,0.221179,4780.100098,53958.300781,35543.398438,25478.000000,3801.600098,53,-1
10.000000,0.436316,0.000673,0.478453,0.624841,0.633892,0.693148,0.286915,0.153469,4087.000000,88718.101562,98675.898438,65449.601562,2923.500000,54,-1
10.000000,0.484136,0.000666,0.412167,0.465583,0.509397,0.566526,0.453572,0.065758,3270.000000,88537.898438,80922.601562,78724.296875,2326.100098,55,-1
10.000000,0.471863,0.000660,0.433217,0.461004,0.583399,0.583704,0.318261,0.219719,3807.199951,77507.898438,60501.699219,59519.300781,3679.800049,56,-1
10.000000,0.280045,0.000654,0.666308,0.678858,0.896993,0.900394,0.505204,0.350092,3895.199951,74975.296875,110334.500000,96743.500000,4551.700195,57,-1
10.000000,0.482659,0.000648,0.427169,0.316715,0.672998,0.560950,0.376348,0.208831,1698.800049,143790.703125,59675.800781,76159.898438,1876.800049,58,-1
10.000000,0.393216,0.000641,0.526422,0.685779,0.552204,0.779301,0.353379,0.261446,3410.100098,71336.398438,126864.601562,35825.500000,2985.600098,59,-1
10.000000,0.502846,0.000635,0.403615,0.354872,0.266076,0.694227,0.564540,0.138362,1692.500000,67677.398438,141024.296875,76283.203125,2205.000000,60,-1
10.000000,0.353258,0.000629,0.579355,0.563939,0.809674,0.820683,0.362651,0.339830,4198.700195,87368.500000,63928.500000,80864.000000,4052.699951,61,-1
10.000000,0.467744,0.000623,0.465055,0.413247,0.509411,0.764592,0.429093,0.208929,2774.399902,49513.300781,115150.500000,73006.000000,1941.400024,62,-1
10.000000,0.383757,0.000616,0.546292,0.513934,0.646975,0.867503,0.431222,0.271824,3197.699951,50002.800781,129477.101562,70485.500000,2922.500000,63,-1
10.000000,0.467706,0.000610,0.444669,0.506765,0.542837,0.655156,0.291091,0.227496,3516.800049,91957.203125,69702.898438,61870.101562,3170.000000,64,-1
